1CPU
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 1
9, 1
10, 2
11, 3
12, 5
13, 8
14, 10
15, 18
16, 18
17, 36
18, 55
19, 60
20, 94
21, 275
22, 257
23, 409
24, 942
25, 1162
26, 1655
27, 3025
28, 4359
29, 7236
30, 11930
31, 18363
32, 29139
33, 47903
34, 77028
35, 124536
36, 200915
37, 327103

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 1
9, 1
10, 1
11, 2
12, 4
13, 7
14, 10
15, 14
16, 19
17, 24
18, 39
19, 64
20, 101
21, 158
22, 245
23, 663
24, 640
25, 1066
26, 1947
27, 3168
28, 4293
29, 7768
30, 11186
31, 18480
32, 29512
33, 48513
34, 77180
35, 124829
36, 200997
37, 327283

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 1
9, 1
10, 2
11, 3
12, 5
13, 8
14, 13
15, 19
16, 29
17, 36
18, 49
19, 71
20, 106
21, 163
22, 256
23, 404
24, 641
25, 1317
26, 1669
27, 3066
28, 4315
29, 6971
30, 11098
31, 19331
32, 29155
33, 47414
34, 76495
35, 124157
36, 200921
37, 327300

2CPU

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 1
11, 1
12, 2
13, 2
14, 3
15, 5
16, 9
17, 12
18, 23
19, 37
20, 64
21, 104
22, 193
23, 405
24, 443
25, 628
26, 1138
27, 2061
28, 3125
29, 4338
30, 7902
31, 11167
32, 19870
33, 29261
34, 52755
35, 77137
36, 137733
37, 225314

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 1
13, 2
14, 3
15, 5
16, 9
17, 13
18, 24
19, 35
20, 63
21, 89
22, 162
23, 268
24, 425
25, 605
26, 1123
27, 2147
28, 2940
29, 4261
30, 7812
31, 11252
32, 20396
33, 38531
34, 53347
35, 77474
36, 137201
37, 196030

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 1
13, 2
14, 3
15, 5
16, 9
17, 15
18, 21
19, 33
20, 67
21, 107
22, 149
23, 265
24, 611
25, 606
26, 1129
27, 2108
28, 2910
29, 4312
30, 7515
31, 14369
32, 20559
33, 28616
34, 52772
35, 75921
36, 136546
37, 197897

4CPU

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 1
12, 1
13, 2
14, 3
15, 5
16, 9
17, 13
18, 24
19, 37
20, 58
21, 86
22, 145
23, 216
24, 397
25, 645
26, 967
27, 1628
28, 3032
29, 4494
30, 6405
31, 9953
32, 16360
33, 26503
34, 41839
35, 73510
36, 124992
37, 186740

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 1
11, 1
12, 2
13, 2
14, 3
15, 6
16, 11
17, 17
18, 24
19, 36
20, 54
21, 92
22, 155
23, 255
24, 617
25, 561
26, 1034
27, 2015
28, 2312
29, 4455
30, 6985
31, 10874
32, 16285
33, 25949
34, 49578
35, 70262
36, 114901
37, 202797

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 2
12, 3
13, 3
14, 4
15, 7
16, 9
17, 14
18, 22
19, 31
20, 50
21, 84
22, 143
23, 228
24, 395
25, 626
26, 937
27, 1710
28, 2394
29, 3558
30, 6916
31, 10538
32, 16163
33, 28401
34, 41941
35, 67655
36, 120709
37, 186194

8CPU

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 1
12, 1
13, 2
14, 2
15, 3
16, 5
17, 5
18, 12
19, 13
20, 21
21, 34
22, 57
23, 84
24, 133
25, 250
26, 354
27, 602
28, 865
29, 1345
30, 2087
31, 3418
32, 5509
33, 8428
34, 14105
35, 22841
36, 36252
37, 60265

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 1
7, 0
8, 0
9, 1
10, 1
11, 1
12, 1
13, 1
14, 2
15, 2
16, 3
17, 5
18, 9
19, 12
20, 21
21, 31
22, 51
23, 82
24, 133
25, 229
26, 288
27, 490
28, 773
29, 1422
30, 2189
31, 3338
32, 5466
33, 8697
34, 14050
35, 22488
36, 37802
37, 60119

0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 1
10, 1
11, 1
12, 1
13, 1
14, 2
15, 3
16, 4
17, 5
18, 8
19, 12
20, 22
21, 38
22, 50
23, 89
24, 121
25, 197
26, 307
27, 465
28, 771
29, 1338
30, 2216
31, 3330
32, 5289
33, 8577
34, 13634
35, 22298
36, 36002
37, 58902
